ID,Name
1,Mystherbe
2,Ortide
3,Joliflor
4,Insécateur
5,Caratroc
6,Arakdo
7,Maskadra
8,Apitrini
9,Trompignon
10,Gaulet
11,Brocélôme
12,Désséliande
13,Brindibou
14,Efflèche
15,Archéduc ex
16,Croquine
17,Candine
18,Sucreine
19,Olivini
20,Olivado
21,Arboliva
22,Terracruel ex
23,Pimito
24,Pimito
25,Scovilain
26,Salamèche
27,Reptincel
28,Goupix
29,Feunard
30,Entei
31,Chamallot
32,Camerupt
33,Victini ex
34,Darumarond
35,Darumacho
36,Funécire
37,Mélancolux
38,Lugulabre
39,Aflamanoir
40,Pyronille
41,Pyrax
42,Bekaglaçon ex
43,Charbambin
44,Carmadura
45,Lokhlass
46,Carvanha
47,Sharpedo
48,Mustébouée
49,Mustéflott
50,Tritonde
51,Batracné
52,Crapustule
53,Polarhume
54,Polagriffe
55,Hexagel
56,Grenousse
57,Croâporal
58,Taupikeau
59,Triopikeau
60,Dofin
61,Dofin
62,Superdofin
63,Magneti
64,Magneton
65,Magnézone
66,Tyranocif ex
67,Anchwatt
68,Lampéroie
69,Ohmassacre
70,Fulguris
71,Toxizap
72,Salarsen
73,Pohmarmotte ex
74,Têtampoule
75,Têtampoule
76,Têtampoule
77,Ampibidou
78,Ampibidou
79,Miraidon ex
80,Mélo
81,Mélofée
82,Mélodelfe ex
83,Togepi
84,Togetic
85,Togekiss
86,Mentali
87,Snubull
88,Granbull
89,Mysdibule
90,Spoink
91,Groret
92,Séléroc
93,Solaroc
94,Balbuto
95,Kaorine
96,Apireine ex
97,Théffroi
98,Polthégeist
99,Toutombe
100,Toutombe
101,Tomberro
102,Tomberro ex
103,Taupiqueur
104,Triopikeur
105,Embrylex
106,Ymphect
107,Tarinor
108,Barloche
109,Barbicha
110,Manzai
111,Rototaupe
112,Limonde
113,Excavarenne
114,Crabagarre
115,Crabominable
116,Rocabot
117,Lougaroc
118,Terracool
119,Terracruel
120,Craparoi ex
121,Germéclat
122,Germéclat
123,Floréclat ex
124,Koraidon ex
125,Dracaufeu ex
126,Axoloto de Paldéa
127,Axoloto de Paldéa
128,Terraiste de Paldea
129,Terraiste de Paldea
130,Noctali
131,Malosse
132,Malosse
133,Démolosse
134,Démolosse ex
135,Absol ex
136,Darkrai
137,Sepiatop
138,Sepiatroce
139,Tritox
140,Malamandre
141,Cizayox
142,Airmure
143,Mysdibule
144,Archeomire
145,Archeodong
146,Tarinorme
147,Minotaupe
148,Scalpion
149,Scalproie
150,Scalpereur
151,Togedemaru
152,Meltan
153,Melmetal ex
154,Vrombi
155,Vrombi
156,Vrombotor ex
157,Minidraco
158,Draco
159,Dracolosse ex
160,Altaria
161,Draïeul
162,Roucool
163,Roucoups
164,Roucarnage ex
165,Kangourex
166,Evoli
167,Zigzaton
168,Lineon
169,Tylton
170,Ponchiot
171,Ponchien
172,Mastouffe
173,Nanméouïe
174,Frison
175,Sapereau
176,Manglouton
177,Argouste
178,Rongourmand
179,Rongrigou ex
180,Gourmelet
181,Gourmelet
182,Gourmelet
183,Fragroin
184,Fragroin
185,Flamenroule
186,Pepper
187,Colza
188,Alisma
189,Lettre d'Encouragement
190,Ortiga
191,Casquette de Patrouille
192,Siège de la Ligue Pokémon
193,Popi
194,Laïm
195,Sbire de la Team Star
196,Centre Commercial
197,Poing Vengeance
198,Ortide
199,Feunard
200,Superdofin
201,Ampibidou
202,Mélo
203,Embrylex
204,Malosse
205,Cizayox
206,Vrombi
207,Roucool
208,Roucoups
209,Gourmelet
210,Bekaglaçon ex
211,Tyranocif ex
212,Apireine ex
213,Floréclat ex
214,Absol ex
215,Dracaufeu ex
216,Vrombotor ex
217,Roucarnage ex
218,Alisma
219,Ortiga
220,Popi
221,Laïm
222,Bekaglaçon ex
223,Dracaufeu ex
224,Vrombotor ex
225,Roucarnage ex
226,Alisma
227,Popi
228,Dracaufeu ex
229,Cuencia
230,Énergie Feu de Base
